                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5702,                 1.5425,                 1.1374,                 0.9118,                0.85503,                0.91046,                0.48193,                 1.5043,                 1.0761,                 1.1525,             0.00066385,             0.00066385,             0.00066385
                      2,                 1.5116,                0.96205,                 1.1211,                0.94042,                0.86878,                0.93033,                0.54271,                 1.4424,                0.83641,                 1.1516,              0.0012647,              0.0012647,              0.0012647
                      3,                  1.544,                 0.9093,                 1.1522,                 0.9265,                0.89372,                0.94299,                0.49775,                 1.4983,                0.84375,                 1.1592,              0.0017995,              0.0017995,              0.0017995
                      4,                 1.4782,                0.83957,                 1.1264,                0.94492,                0.88042,                0.93527,                0.52679,                 1.4096,                 0.7908,                  1.135,               0.001703,               0.001703,               0.001703
                      5,                 1.4654,                0.79574,                 1.1244,                0.92522,                0.90345,                0.94167,                0.53063,                 1.4265,                0.75951,                 1.1555,               0.001703,               0.001703,               0.001703
                      6,                 1.4252,                0.77037,                 1.1043,                0.94785,                0.88677,                0.94512,                0.52115,                 1.4236,                 0.7829,                 1.1478,               0.001604,               0.001604,               0.001604
                      7,                 1.4252,                0.74229,                 1.0966,                0.95057,                0.90688,                0.95147,                0.56432,                 1.3728,                0.67509,                 1.1153,               0.001505,               0.001505,               0.001505
                      8,                 1.4035,                 0.7233,                  1.089,                0.96125,                0.90476,                0.95932,                 0.5718,                 1.3561,                0.67229,                 1.1095,               0.001406,               0.001406,               0.001406
                      9,                 1.3901,                0.70515,                 1.0829,                0.93748,                0.92032,                0.95643,                0.57837,                 1.3132,                0.64562,                 1.0943,               0.001307,               0.001307,               0.001307
                     10,                 1.3814,                0.70459,                 1.0856,                0.93065,                0.89947,                0.93683,                0.54049,                 1.3401,                0.72315,                  1.091,               0.001208,               0.001208,               0.001208
                     11,                 1.3396,                0.65681,                 1.1122,                0.96125,                0.91852,                0.96508,                0.58821,                 1.3342,                0.62118,                 1.0949,               0.001109,               0.001109,               0.001109
                     12,                 1.3266,                0.63384,                 1.0957,                0.96452,                0.93862,                0.96936,                0.59041,                  1.312,                0.59578,                 1.0788,                0.00101,                0.00101,                0.00101
                     13,                 1.3127,                0.61617,                 1.0909,                0.95838,                0.93862,                0.96947,                 0.6028,                 1.2673,                0.59636,                 1.0664,               0.000911,               0.000911,               0.000911
                     14,                  1.302,                0.59205,                 1.0924,                0.95318,                0.92635,                0.96433,                0.59904,                 1.2835,                0.58744,                 1.0735,               0.000812,               0.000812,               0.000812
                     15,                 1.2708,                 0.5844,                 1.0745,                0.96323,                0.94254,                0.97328,                0.61669,                 1.2439,                 0.5644,                 1.0583,               0.000713,               0.000713,               0.000713
                     16,                 1.2687,                0.56678,                 1.0802,                0.96738,                0.94158,                0.97028,                0.61242,                 1.2641,                0.55579,                 1.0542,               0.000614,               0.000614,               0.000614
                     17,                 1.2398,                0.55954,                 1.0621,                 0.9673,                0.95026,                0.97364,                 0.6143,                 1.2502,                0.54418,                 1.0563,               0.000515,               0.000515,               0.000515
                     18,                 1.2287,                0.54051,                  1.059,                 0.9729,                0.94971,                0.97404,                0.62042,                 1.2332,                0.52747,                  1.049,               0.000416,               0.000416,               0.000416
                     19,                 1.2045,                0.52657,                 1.0528,                0.97718,                0.94497,                0.97497,                0.62609,                 1.2179,                0.52537,                 1.0434,               0.000317,               0.000317,               0.000317
                     20,                 1.2046,                0.51669,                 1.0472,                0.97508,                 0.9545,                0.97773,                0.63796,                 1.2049,                 0.5022,                 1.0363,               0.000218,               0.000218,               0.000218
