                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3954,                 1.3188,                  1.104,                0.88987,                0.84996,                0.89496,                0.42595,                 1.6293,                 1.1257,                 1.1867,             0.00066556,             0.00066556,             0.00066556
                      2,                 1.3379,                0.86816,                 1.0832,                0.88909,                 0.8561,                0.89181,                0.49223,                 1.4576,                 1.1601,                 1.1896,              0.0012663,              0.0012663,              0.0012663
                      3,                 1.3098,                0.81032,                  1.075,                0.92228,                0.86998,                0.91135,                0.52363,                 1.4747,                0.87021,                  1.134,               0.001801,               0.001801,               0.001801
                      4,                  1.284,                0.77275,                 1.0724,                0.89937,                0.87482,                0.91269,                0.52169,                 1.4585,                0.95947,                 1.1528,               0.001703,               0.001703,               0.001703
                      5,                 1.2395,                0.72656,                 1.0616,                0.93909,                0.85756,                0.93203,                0.54122,                 1.4175,                0.78963,                 1.1285,               0.001703,               0.001703,               0.001703
                      6,                 1.1903,                 0.6861,                 1.0441,                0.92753,                 0.8881,                0.93124,                0.54429,                 1.3937,                0.80776,                 1.1131,               0.001604,               0.001604,               0.001604
                      7,                 1.1581,                0.66008,                 1.0244,                0.93829,                0.87744,                0.93414,                0.53541,                 1.4308,                0.77897,                 1.1458,               0.001505,               0.001505,               0.001505
                      8,                 1.1369,                0.63675,                  1.019,                0.93419,                0.87801,                0.94021,                0.56418,                 1.3874,                0.73822,                 1.1046,               0.001406,               0.001406,               0.001406
                      9,                 1.1139,                0.61925,                 1.0094,                0.92937,                0.88751,                0.93659,                0.56025,                  1.359,                0.71652,                  1.124,               0.001307,               0.001307,               0.001307
                     10,                 1.0874,                0.59149,                 1.0052,                0.91619,                0.89554,                0.93833,                0.56613,                 1.3595,                0.70729,                 1.0984,               0.001208,               0.001208,               0.001208
                     11,                 1.0324,                0.54608,                0.98616,                 0.9098,                  0.916,                 0.9416,                0.56758,                 1.3501,                0.68593,                 1.1029,               0.001109,               0.001109,               0.001109
                     12,                  1.012,                0.52745,                0.97662,                 0.9263,                0.89055,                0.94129,                0.55935,                 1.3704,                0.69712,                 1.1273,                0.00101,                0.00101,                0.00101
                     13,                0.98994,                0.51044,                0.97003,                0.93825,                0.87686,                0.94479,                0.58016,                 1.3368,                0.69937,                 1.0889,               0.000911,               0.000911,               0.000911
                     14,                0.97479,                0.49692,                0.96463,                0.94019,                0.87264,                0.94523,                0.57912,                 1.3301,                0.68503,                 1.0871,               0.000812,               0.000812,               0.000812
                     15,                0.95991,                0.48594,                0.95446,                0.92121,                 0.9065,                0.95162,                0.58607,                 1.3129,                0.65498,                 1.0845,               0.000713,               0.000713,               0.000713
                     16,                0.93079,                0.46551,                0.94613,                 0.9527,                0.86813,                0.94965,                0.58906,                  1.308,                0.65449,                 1.0809,               0.000614,               0.000614,               0.000614
                     17,                 0.9222,                0.45784,                0.93944,                0.95759,                0.87582,                0.95499,                0.59418,                 1.3033,                 0.6463,                 1.0784,               0.000515,               0.000515,               0.000515
                     18,                0.89802,                0.44041,                0.93191,                0.91768,                0.90504,                0.95367,                0.59765,                 1.3071,                0.64945,                 1.0725,               0.000416,               0.000416,               0.000416
                     19,                0.88828,                0.43134,                0.93002,                0.94225,                0.88386,                0.95316,                0.59646,                 1.2887,                0.63981,                 1.0715,               0.000317,               0.000317,               0.000317
                     20,                0.86635,                0.41724,                0.92213,                0.93333,                0.88972,                 0.9567,                0.60242,                 1.2982,                0.62703,                 1.0736,               0.000218,               0.000218,               0.000218
