                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6835,                 2.2169,                 1.3277,                0.02011,                 0.7156,                0.01897,                0.00778,                 1.8476,                 112.53,                 1.5628,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.7267,                 1.7925,                  1.463,                0.00057,                0.01835,                0.00028,                  8e-05,                 1.1864,             3.6546e+08,             1.3464e+07,             0.00073882,             0.00073882,             0.00073882
                      3,                 1.8725,                  1.633,                 1.6306,                0.00049,                0.14679,                0.00031,                 0.0001,                 4.4418,             4.9553e+12,             1.8944e+10,             0.00099448,             0.00099448,             0.00099448
